id,drug_name,generic_name,drug_class,indication,status_after_sleeve,reason,dose_adjustment_notes,administration_form,interactions,evidence_level,source_links,last_reviewed,notes
39,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
40,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
41,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
42,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
43,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
44,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
45,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
46,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-20,ممنوع في معظم الحالات بعد التكميم.
47,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-20,المدة تختلف حسب تعليمات الجرّاح.
48,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-20,البديل المفضل للمسكنات بعد التكميم.
49,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
50,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
51,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
52,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
53,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
54,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
55,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
56,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
57,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
58,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
59,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
60,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
61,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
62,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
63,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
64,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
65,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
66,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
67,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
68,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
69,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
70,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
71,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
72,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
73,Ibuprofen,ibuprofen,NSAID,مسكن/مضاد التهاب,avoid,يزيد خطر التقرحات بعد جراحات السمنة,تجنب نهائيًا إن أمكن؛ استخدم باراسيتامول كبديل تحت إشراف طبي,tablet,,guideline/review,https://www.sps.nhs.uk/articles/considerations-for-using-medicines-following-bariatric-surgery/,2025-09-22,ممنوع في معظم الحالات بعد التكميم.
74,Omeprazole,omeprazole,PPI,حماية من القرحة/علاج الارتجاع,conditional,يُستخدم كوقاية بعد الجراحة لفترة معينة,عادة يُوصف لشهور بعد العملية,capsule,,guideline,https://pubmed.ncbi.nlm.nih.gov/,2025-09-22,المدة تختلف حسب تعليمات الجرّاح.
75,Paracetamol,acetaminophen,Analgesic,مسكن ألم,allowed,آمن كمسكن بعد التكميم,انتبه للجرعة القصوى اليومية,tablet/liquid,,guideline,https://www.ssmhealth.com/,2025-09-22,البديل المفضل للمسكنات بعد التكميم.
